#separator:pipe
#html:false
#deck:JLPT N1 漢字
#notetype:Ikoma Kanji
亜熱帯|あねったい|subtropical|あの国は{{c1::亜熱帯}}気候だ。
覆面強盗|ふくめんごうとう|masked robber|{{c1::覆面強盗}}が店に押し入った。
覆る|くつがえる|to be overturned|その判決は上訴によって覆った。
覆う|おおう|to cover|雲が空を覆っている。
蓋|ふた|lid|{{c1::蓋}}が、なかなか開かない。
紛失|ふんしつ|loss|パスポートを{{c1::紛失}}した。
紛らわす|まぎらわす|to distract|気を{{c1::紛らわす}}ためにテレビをつけた。
紛れもない|まぎれもない|unmistakable|それは{{c1::紛れもない}}事実だ。
雰囲気|ふんいき|atmosphere|{{c1::雰囲気}}のいいレストランで食事したい。
噴水|ふんすい|fountain|公園の{{c1::噴水}}の前で待ち合わせした。
噴火|ふんか|eruption|火山が{{c1::噴火}}した。
噴いて|ふいて|to spout/blow|笛を{{c1::噴いて}}音を出す。
古墳|こふん|ancient tomb|奈良県には{{c1::古墳}}がたくさんある。
憤慨|ふんがい|indignation|不正に{{c1::憤慨}}している。
憤り|いきどおり|resentment/anger|国民は{{c1::憤り}}を感じている。
興奮|こうふん|excitement|その試合に{{c1::興奮}}した。
奮って|ふるって|with enthusiasm|{{c1::奮って}}ご参加ください。
合併|がっぺい|merger|二つの会社が{{c1::合併}}した。
併せて|あわせて|in addition/together|詳細は{{c1::併せて}}ご確認ください。
横柄|おうへい|arrogant|彼の{{c1::横柄}}な態度に腹が立った。
小柄|こがら|petite/small build|彼女は{{c1::小柄}}で可愛らしい人だ。
傘の柄|かさのえ|umbrella handle|{{c1::傘の柄}}が壊れてしまった。
塀|へい|wall/fence|{{c1::塀}}を乗り越える子猫がいた。
板塀|いたべい|board fence|古い家には{{c1::板塀}}が多かった。
貨幣|かへい|currency|古代の{{c1::貨幣}}が発見された。
紙幣|しへい|paper money|古い{{c1::紙幣}}を記念に集めている。
弊害|へいがい|harmful effect|都市化の{{c1::弊害}}が目立ってきた。
壁画|へきが|mural|教会の{{c1::壁画}}が有名だ。
壁|かべ|wall|{{c1::壁}}にポスターを貼った。
盗癖|とうへき|stealing habit|彼には{{c1::盗癖}}がある。
癖|くせ|habit|話すときに髪を触る{{c1::癖}}がある。
偏食|へんしょく|unbalanced diet|{{c1::偏食}}をしていると栄養が偏るよ。
偏る|かたよる|to be unbalanced|栄養が{{c1::偏る}}。
普遍的|ふへんてき|universal|{{c1::普遍的}}なテーマだ。
弁護|べんご|defense (in court)|彼のしたことは{{c1::弁護}}の余地がない。
弁償|べんしょう|reparation|ガラスを割ったので{{c1::弁償}}した。
保存|ほぞん|preservation|冷蔵庫で{{c1::保存}}してください。
保つ|たもつ|to keep, to preserve|品質を{{c1::保つ}}。
津々浦々|つつうらうら|everywhere across the country|全国{{c1::津々浦々}}から珍しいペットを紹介。
店舗|てんぽ|store, shop|適当な{{c1::店舗}}を探している。
老舗|しにせ|long-established store|{{c1::老舗}}の旅館に泊まった。
墓地|ぼち|cemetery|{{c1::墓地}}に埋葬した。
墓参り|はかまいり|visiting a grave|命日には{{c1::墓参り}}をする。
慕情|ぼじょう|longing|映画「{{c1::慕情}}」を見た。
慕って|したって|to yearn for|姉を{{c1::慕って}}会いに行く。
簿記|ぼき|bookkeeping|{{c1::簿記}}の勉強を始めた。
帳簿|ちょうぼ|account book|{{c1::帳簿}}をつける。
芳香剤|ほうこうざい|air freshener|{{c1::芳香剤}}を使う家庭が増えている。
芳しくない|かんばしくない|not favorable|成績は芳しくなかった。
邦画|ほうが|Japanese film|洋画より{{c1::邦画}}をよく見る。
連邦国家|れんぽうこっか|federal nation|A国は{{c1::連邦国家}}だ。
邦訳|ほうやく|Japanese translation|{{c1::邦訳}}を出版する。
奉仕|ほうし|service|{{c1::奉仕}}の精神を忘れない。
奉った|たてまつった|to offer (respectfully)|珍しい物を国王に{{c1::奉った}}。
発泡|はっぽう|foaming|{{c1::発泡}}する浴剤を使う。
泡立てて|あわだてて|to foam, to whip|卵白を{{c1::泡立てて}}お菓子を作る。
細胞|さいぼう|cell (biology)|{{c1::細胞}}を顕微鏡で見る。
同胞|どうほう|fellow countryman|{{c1::同胞}}は支えあって生きる。
年俸制|ねんぽうせい|annual salary system|姿は{{c1::年俸制}}で給料を払う。
減俸|げんぽう|pay cut|営業成績が上がらず、{{c1::減俸}}になった。
模倣|もほう|imitation|著名な画家の{{c1::模倣}}だ。
倣って|ならって|to imitate|例に{{c1::倣って}}文を書く。
連峰|れんぽう|mountain range|南アルプス{{c1::連峰}}に登る。
峰続き|みねつづき|continuous peaks|山と山が{{c1::峰続き}}です。
崩壊|ほうかい|collapse|建物が{{c1::崩壊}}した。
崩して|くずして|to break down (body, structure)|体調を{{c1::崩して}}休んだ。
飽和状態|ほうわじょうたい|saturated state|市場は{{c1::飽和状態}}だ。
飽きっぽくて|あきっぽくて|easily bored|{{c1::飽きっぽくて}}長続きしない。
褒美|ほうび|reward|合格の{{c1::褒美}}に、パソコンを買ってやろう。
褒められた|ほめられた|was praised|作文で先生に{{c1::褒められた}}。
裁縫|さいほう|sewing|母は{{c1::裁縫}}が得意だ。
縫った|ぬった|sewed|母が私の服を{{c1::縫った}}。
貧乏|びんぼう|poverty|子どものころは{{c1::貧乏}}だった。
乏しい|とぼしい|scarce|知識が{{c1::乏しい}}。
妨害|ぼうがい|obstruction|昨夜も安眠を{{c1::妨害}}された。
妨げとなる|さまたげとなる|become an obstacle|交通の便が悪く、発展の{{c1::妨げとなる}}。
冷房|れいぼう|air conditioning|{{c1::冷房}}が強すぎると体によくない。
一房|ひとふさ|a bunch|この時期、ぶどうは{{c1::一房}}で売られる。
某課長|ぼうかちょう|a certain section chief|{{c1::某課長}}が左遷されるという噂だ。
冒頭|ぼうとう|beginning|会議は{{c1::冒頭}}から活発だった。
冒して|おかして|risking|危険を{{c1::冒して}}南極へ行く。
解剖|かいぼう|dissection|理科の授業でカエルを{{c1::解剖}}した。
混紡|こんぼう|blended fabric|このセーターは綿とナイロンの{{c1::混紡}}です。
紡ぐ|つむぐ|to spin (thread)|糸を{{c1::紡ぐ}}。
傍観|ぼうかん|bystanding|事故を{{c1::傍観}}していた。
傍ら|かたわら|beside / while doing something|参考書を{{c1::傍ら}}に置いて勉強した。
膨張|ぼうちょう|expansion|宇宙が{{c1::膨張}}している。
膨らむ|ふくらむ|to swell|夢が{{c1::膨らむ}}。
膨れた|ふくれた|swelled|お腹が{{c1::膨れた}}。
無謀|むぼう|reckless|彼の{{c1::無謀}}な挑戦は止められなかった。
謀反|むほん|rebellion|{{c1::謀反}}を企てる。
謀られた|はかられた|was plotted against|敵に{{c1::謀られた}}。
吠える|ほえる|to bark|犬が吠えている。
頬|ほお／ほほ|cheek|彼女は{{c1::頬}}を赤らめた。
頬杖|ほおづえ|resting chin on hand|{{c1::頬杖}}をついて外を見た。
素朴|そぼく|simple, naive|{{c1::素朴}}な疑問が浮かんだ。
牧師|ぼくし|pastor|彼は教会の{{c1::牧師}}です。
牧場|ぼくじょう|ranch|{{c1::牧場}}で牛が放牧されている。
牧草|ぼくそう|pasture grass|{{c1::牧草}}を刈る。
僕|ぼく|I (used by males)|{{c1::僕}}は学生です。
水墨画|すいぼくが|ink wash painting|祖父の趣味は{{c1::水墨画}}だ。
墨|すみ|ink|{{c1::墨}}をこぼしてしまった。
全身打撲|ぜんしんだぼく|whole-body bruise|事故で{{c1::全身打撲}}を負った。
相撲|すもう|sumo|初めて{{c1::相撲}}を見た。
惚けて|ぼけて|becoming senile|祖母は最近、少し{{c1::惚けて}}きたようだ。
沈没|ちんぼつ|sinking (of a ship)|船が{{c1::沈没}}した。
没頭|ぼっとう|absorption, immersion|趣味に{{c1::没頭}}する。
堀|ほり|moat|城は{{c1::堀}}に囲まれていた。
釣り堀|つりぼり|fishing pond|{{c1::釣り堀}}で魚釣りをした。
自由奔放|じゆうほんぽう|freewheeling, uninhibited|彼は{{c1::自由奔放}}に生きている。
翻訳|ほんやく|translation|その本は英語に{{c1::翻訳}}された。
翻る|ひるがえる|flutter, turn over|旗が風に{{c1::翻る}}。
平凡|へいぼん|ordinary|うちは{{c1::平凡}}な家庭です。
凡例|はんれい|legend, key (on a map)|この本の{{c1::凡例}}は分かりやすい。
盆地|ぼんち|basin (geography)|この地域は大きな{{c1::盆地}}だ。
盆踊り|ぼんおどり|Bon festival dance|8月に{{c1::盆踊り}}が催される。
麻酔|ますい|anesthesia|歯を抜くために{{c1::麻酔}}をかけた。
浅|あさ|shallow|この川は{{c1::浅}}い。
貿易摩擦|ぼうえきまさつ|trade friction|{{c1::貿易摩擦}}が悪化している。
邪魔|じゃま|obstruction, hindrance|ちょっと{{c1::邪魔}}だからどいて。
悪魔|あくま|devil, demon|人間には{{c1::悪魔}}の心もある。
開幕|かいまく|opening (of event)|プロ野球が4月に{{c1::開幕}}する。
幕末|ばくまつ|late Edo period|これは{{c1::幕末}}の話だ。
鼓膜|こまく|eardrum|爆音で{{c1::鼓膜}}が破れそうだった。
水を撒く|みずをまく|to sprinkle water|朝に庭に{{c1::水を撒く}}。
種を蒔いた|たねをまいた|planted seeds|ヒマワリの{{c1::種を蒔いた}}。
膝枕|ひざまくら|resting head on someone's lap|子どもが母の{{c1::膝枕}}で眠った。
又|また|again; also|彼は小説家、また画家でもある。
二股|ふたまた|two-timing, fork (in road)|道が{{c1::二股}}に分かれている。
抹茶|まっちゃ|matcha (powdered green tea)|{{c1::抹茶}}を点てる。
抹消|まっしょう|erasure, deletion|登録を{{c1::抹消}}された。
眉|まゆ|eyebrow|彼女は{{c1::眉}}が整っている。
我慢|がまん|endurance, patience|足がしびれて痛かったが、お茶会が終わるまでは{{c1::我慢}}した。
漫画|まんが|comics|本で{{c1::漫画}}を読む。
散漫な印象|さんまんないんしょう|distracted impression|彼の話は{{c1::散漫な印象}}を与えた。
魅力的|みりょくてき|charming, attractive|彼女はとても{{c1::魅力的}}な人だ。
魅了|みりょう|fascinate, captivate|彼の音楽に皆が{{c1::魅了}}された。
岬|みさき|cape (geography)|{{c1::岬}}の先に灯台がある。
密集|みっしゅう|dense gathering|この辺は住宅が{{c1::密集}}している。
密接|みっせつ|closely connected|彼と松本氏は{{c1::密接}}なつながりがある。
脈|みゃく|pulse|血圧と{{c1::脈}}を測ってみましょう。
山脈|さんみゃく|mountain range|日本アルプス{{c1::山脈}}はとても美しい。
奇妙|きみょう|strange|それは{{c1::奇妙}}な出来事だった。
巧妙|こうみょう|clever, ingenious|彼は{{c1::巧妙}}な手口でだました。
矛盾|むじゅん|contradiction|彼の証言は前の話と{{c1::矛盾}}している。
矛先|ほこさき|target, point of attack|批判の{{c1::矛先}}が私に向けられた。
濃霧注意報|のうむちゅういほう|dense fog advisory|今朝は{{c1::濃霧注意報}}が出ている。
霧|きり|fog|{{c1::霧}}が出てきて視界が悪くなった。
同盟|どうめい|alliance|日本はイギリスと{{c1::同盟}}を結んだ。
連盟|れんめい|federation|複数の団体が{{c1::連盟}}を設立した。
銘菓|めいか|noted confectionery|京都の{{c1::銘菓}}を土産に買った。
感銘|かんめい|deep impression|彼の話に深く{{c1::感銘}}を受けた。
絶滅寸前|ぜつめつすんぜん|on the verge of extinction|トキは{{c1::絶滅寸前}}だ。
滅びる|ほろびる|to perish|恐竜は何百万年も前に滅びた。
運転免許|うんてんめんきょ|driver’s license|やっと{{c1::運転免許}}を取れた。
免除|めんじょ|exemption|成績優秀のため授業料が{{c1::免除}}された。
免れた|まぬかれた|escaped, avoided|危険を{{c1::免れた}}。
繁茂|はんも|luxuriant growth|庭には雑草が{{c1::繁茂}}していた。
茂って|しげって|overgrown|木々が道の両側に{{c1::茂って}}いた。
模範|もはん|model, example|彼は学生の{{c1::模範}}だ。
大規模|だいきぼ|large scale|{{c1::大規模}}なマンションが建設された。
妄想|もうそう|delusion|彼は{{c1::妄想}}に取り憑かれていた。
妄言|ぼうげん|reckless remark|彼は酔って{{c1::妄言}}を口にした。
盲目|もうもく|blindness|{{c1::盲目}}のピアニストが演奏した。
盲点|もうてん|blind spot|その計画には重大な{{c1::盲点}}がある。
消耗|しょうもう|exhaustion, consumption|長時間の労働で体力を{{c1::消耗}}した。
心神耗弱|しんしんこうじゃく|diminished mental capacity|{{c1::心神耗弱}}で責任能力が問われなかった。
猛烈|もうれつ|fierce, intense|日が{{c1::猛烈}}に照りつけている。
猛威|もうい|rampage, destructive force|{{c1::猛威}}をふるった台風は太平洋にぬけた。
網羅|もうら|comprehensive coverage|資料室には、自社製品の広告がすべて{{c1::網羅}}されている。
網|あみ|net|{{c1::網}}を打って魚をとる。
沈黙|ちんもく|silence|知人に久しぶりに会ったが、気まずい{{c1::沈黙}}が続いた。
黙って|だまって|silently|彼はずっと{{c1::黙って}}いた。
貰った|もらった|received|友だちから誕生日のプレゼントを{{c1::貰った}}。
波紋を投げる|はもんをなげる|cause a ripple|課長の発言は社内に大きな波紋を投げかけた。
厄年|やくどし|unlucky year|今年は{{c1::厄年}}だから、神社に厄除けに行った。
厄除け|やくよけ|warding off evil|{{c1::厄除け}}のお守りを買った。
通訳|つうやく|interpreter|フランス語の{{c1::通訳}}ができる人を探している。
活躍|かつやく|active, success|彼女は芸能界で{{c1::活躍}}している。
躍る|おどる|leap, jump (figurative)|デートのことを考えると胸が{{c1::躍る}}。
暗闇|くらやみ|darkness|{{c1::暗闇}}の中で、猫の目だけが光っていた。
愉快|ゆかい|pleasant, amusing|彼との会話はとても{{c1::愉快}}だった。
教諭|きょうゆ|teacher|山中{{c1::教諭}}が担任です。
諭された|さとされた|was advised, was persuaded|父に進学は無理だと{{c1::諭された}}。
治癒|ちゆ|healing, recovery|けがは一週間で{{c1::治癒}}した。
癒着|ゆちゃく|collusion|役人と企業の{{c1::癒着}}が問題になっている。
唯一|ゆいいつ|only, sole|弟だけが{{c1::唯一}}の肉親だ。
幽霊|ゆうれい|ghost|その古い旅館には{{c1::幽霊}}が出るという噂がある。
悠々|ゆうゆう|leisurely|休日は{{c1::悠々}}と過ごしたい。
猶予|ゆうよ|grace period|一週間の{{c1::猶予}}を与えます。
裕福|ゆうふく|wealthy|彼女は{{c1::裕福}}な家庭に育った。
余裕|よゆう|room, margin, allowance|軍を買う{{c1::余裕}}はない。
英雄|えいゆう|hero|彼は子どもを助けて{{c1::英雄}}になった。
雄|おす|male (animal), heroic|このライオンは{{c1::雄}}だ。
誘導|ゆうどう|guidance|係員が客を避難口へ{{c1::誘導}}した。
誘って|さそって|invited|友人を{{c1::誘って}}海へ行った。
憂慮|ゆうりょ|concern, anxiety|教育の現状が{{c1::憂慮}}される。
憂れしい|うれしい|sad (archaic)|備えあれば憂いなし。
金融機関|きんゆうきかん|financial institution|彼は{{c1::金融機関}}に勤めている。
融資|ゆうし|financing, loan|銀行から{{c1::融資}}を受ける。
茹で卵|ゆでたまご|boiled egg|{{c1::茹で卵}}とサンドイッチのごはんを食べた。
茹でる|ゆでる|to boil|ほうれん草を{{c1::茹でる}}。
名誉|めいよ|honor|この賞は私の{{c1::名誉}}です。
誉れ高い|ほまれたかい|honorable, prestigious|夜の{{c1::誉れ高い}}先生に褒めてもらう。
羊毛|ようもう|wool|このコートは、さすがに温かい。
羊|ひつじ|sheep|{{c1::羊}}の毛を刈る実演を見た。
中庸|ちゅうよう|moderation|{{c1::中庸}}を持つのがよい。
凡庸|ぼんよう|mediocre|彼は{{c1::凡庸}}で魅力に欠ける。
意気揚々|いきようよう|triumphantly|{{c1::意気揚々}}と会場をあとにした。
揚げたて|あげたて|freshly fried|{{c1::揚げたて}}の天ぷらが食べたいな。
動揺|どうよう|disturbance, agitation|その話を聞いて、{{c1::動揺}}した。
揺れている|ゆれている|shaking|未笠が風で{{c1::揺れている}}。
窯業|ようぎょう|ceramics industry|彼の家は{{c1::窯業}}を営んでいる。
窯元|かまもと|pottery workshop|抹茶碗を{{c1::窯元}}で選んだ。
教師養成|きょうしようせい|teacher training|日本語{{c1::教師養成}}コースがある。
養う|やしなう|to support, to raise|三人の子どもを{{c1::養う}}。
人権擁護|じんけんようご|human rights protection|{{c1::人権擁護}}が叫ばれている。
童謡|どうよう|children’s song|たまに{{c1::童謡}}を口ずさむ。
謡曲を謡う|ようきょくをうたう|to chant Noh songs|{{c1::謡曲を謡う}}声が聞こえた。
抑制|よくせい|restraint, control|感情は{{c1::抑制}}しなければならない。
抑えた|おさえた|suppressed|薬で熱を{{c1::抑えた}}。
主翼|しゅよく|main wing (of plane)|飛行機の{{c1::主翼}}に異常があった。
翼|つばさ|wing|鳥が{{c1::翼}}を広げて飛び立った。
裸体画|らたいが|nude painting|彼は{{c1::裸体画}}を得意としている。
裸の王様|はだかのおうさま|The Emperor's New Clothes|「{{c1::裸の王様}}」を読んだ。
網羅|もうら|comprehensive coverage|この本は水害の記録を{{c1::網羅}}している。
落雷|らくらい|lightning strike|{{c1::落雷}}があったそうだ。
雷|かみなり|thunder|{{c1::雷}}が鳴っている。
酪農|らくのう|dairy farming|兄は北海道で{{c1::酪農}}をしている。
展覧会|てんらんかい|exhibition|{{c1::展覧会}}の会場はこちらです。
ご覧ください|ごらんください|please look|作品をどうぞ{{c1::ご覧ください}}。
濫用|らんよう|abuse|薬の{{c1::濫用}}は、やめたほうがいい。
氾濫|はんらん|overflow, flood|集中豪雨で河川が{{c1::氾濫}}した。
空欄|くうらん|blank column|{{c1::空欄}}に住所、氏名を書いてください。
欄|らん|column, field|その{{c1::欄}}には何も書かないこと。
郷里|きょうり|hometown|彼の{{c1::郷里}}は、山形県です。
里|さと|village|暮れには必ず{{c1::里}}へ帰る。
履歴書|りれきしょ|resume|就職活動をするために、{{c1::履歴書}}を書いた。
草履|ぞうり|zori sandals|和服にはそろいの{{c1::草履}}が似合う。
離婚|りこん|divorce|{{c1::離婚}}することにした。
離れて|はなれて|apart|私は18歳の時から、親元を{{c1::離れて}}暮らしている。
川柳|せんりゅう|senryu poem|{{c1::川柳}}を詠んだことがありますか。
柳|やなぎ|willow|{{c1::柳}}が風に揺れている。
竜|りゅう|dragon|{{c1::竜}}は想像上の動物だ。
恐竜|きょうりゅう|dinosaur|太古の地球に{{c1::恐竜}}がいた。
竜巻|たつまき|tornado|{{c1::竜巻}}が起こった。
隆盛|りゅうせい|prosperity|国家の{{c1::隆盛}}は喜ばしいことだ。
興隆|こうりゅう|rising prosperity|新勢力が{{c1::興隆}}する。
硫酸|りゅうさん|sulfuric acid|その瓶には{{c1::硫酸}}が入っていますから、気をつけてください。
捕虜|ほりょ|prisoner of war|彼は戦時中、{{c1::捕虜}}になったことがある。
遠慮|えんりょ|restraint|{{c1::遠慮}}しないでください。
考慮中|こうりょちゅう|under consideration|その件は今{{c1::考慮中}}です。
猟犬|りょうけん|hunting dog|{{c1::猟犬}}を連れ、狩猟に出かけた。
狩猟|しゅりょう|hunting|猟奇的な事件が世間を騒がせる。
猟奇的|りょうきてき|gruesome|{{c1::猟奇的}}な事件が報道された。
丘陵地帯|きゅうりょうちたい|hilly area|あのへんは{{c1::丘陵地帯}}だ。
同僚|どうりょう|colleague|仕事の後、よく{{c1::同僚}}と飲みに行く。
閣僚|かくりょう|cabinet minister|{{c1::閣僚}}が集まって会議を開いた。
官僚|かんりょう|bureaucrat|{{c1::官僚}}が政策を立案する。
学生寮|がくせいりょう|student dormitory|学生たちは{{c1::学生寮}}の廃止に対する集会を開いた。
独身寮|どくしんりょう|bachelor dormitory|会社には{{c1::独身寮}}がある。
食糧事情|しょくりょうじじょう|food situation|この国では{{c1::食糧事情}}が厳しい。
糧|かて|nourishment|彼女の愛情を心の{{c1::糧}}として仕事に励む。
人倫|じんりん|human morals|あなたのしていることは{{c1::人倫}}にもとる行為だ。
倫理学|りんりがく|ethics|{{c1::倫理学}}の講義を聞く。
隣接|りんせつ|adjacent|飛行場に{{c1::隣接}}しているので騒音に悩まされている。
隣|となり|next to|{{c1::隣}}の家の犬に吠えられた。
臨時休業|りんじきゅうぎょう|temporary closure|本日は{{c1::臨時休業}}させていただきます。
臨んだ|のぞんだ|faced|彼は新しいプロジェクトに{{c1::臨んだ}}。
係累|けいるい|dependents|彼は多くの{{c1::係累}}を抱えている。
累積赤字|るいせきあかじ|accumulated deficit|その会社は{{c1::累積赤字}}が膨らんでいる。
盗塁|とうるい|stolen base|選手が{{c1::盗塁}}に成功した。
満塁|まんるい|bases loaded|彼は{{c1::満塁}}ホームランを打った。
激励|げきれい|encouragement|先生が{{c1::激励}}の言葉をかけた。
励ました|はげました|encouraged|友人を{{c1::励ました}}。
風鈴|ふうりん|wind chime|夏になると{{c1::風鈴}}を飾る。
予鈴|よれい|warning bell|{{c1::予鈴}}が鳴って授業が始まる。
鈴をつけた|すずをつけた|put a bell on|猫の首に{{c1::鈴をつけた}}。
霊感|れいかん|spiritual sensitivity|彼女には{{c1::霊感}}があると言われている。
悪霊退治|あくりょうたいじ|exorcism|{{c1::悪霊退治}}の映画を見た。
御霊|みたま|honored spirit|{{c1::御霊}}を慰めるために祈った。
華麗|かれい|splendid|{{c1::華麗}}な衣装を身にまとう。
麗し|うるわし|beautiful|{{c1::麗し}}の乙女が現れた。
暦|こよみ|calendar|{{c1::暦}}を見て予定を立てる。
優劣|ゆうれつ|superiority and inferiority|{{c1::優劣}}をつけるのは良くない。
劣る|おとる|be inferior|彼は体力で他の選手に劣っている。
強烈|きょうれつ|intense|{{c1::強烈}}な印象を受けた。
破裂|はれつ|burst|タイヤが{{c1::破裂}}した。
口が裂けても|くちがさけても|under no circumstances|{{c1::口が裂けても}}言えない。
廉価|れんか|low price|{{c1::廉価}}で販売されている。
精錬工場|せいれんこうじょう|refinery|彼は{{c1::精錬工場}}で働いている。
暖炉|だんろ|fireplace|{{c1::暖炉}}の前で温まった。
炉端|ろばた|hearthside|{{c1::炉端}}で魚を焼く。
披露|ひろう|announcement|新曲を{{c1::披露}}する。
露骨|ろこつ|blunt, explicit|{{c1::露骨}}に嫌な顔をされた。
朝露|あさつゆ|morning dew|{{c1::朝露}}が葉に光っている。
風呂|ふろ|bath|お{{c1::風呂}}に入る。
風呂敷|ふろしき|wrapping cloth|土産を{{c1::風呂敷}}に包む。
新郎|しんろう|bridegroom|{{c1::新郎}}が緊張していた。
明朗な|めいろうな|cheerful|彼は{{c1::明朗な}}性格だ。
朗読|ろうどく|reading aloud|詩を{{c1::朗読}}する。
朗らか|ほがらか|bright, cheerful|{{c1::朗らか}}な性格の人だ。
浪費|ろうひ|waste|彼は時間を{{c1::浪費}}している。
浪人|ろうにん|ronin (student taking a gap year)|{{c1::浪人}}生活をしている。
廊下|ろうか|corridor|{{c1::廊下}}を走らないでください。
摩天楼|まてんろう|skyscraper|ニューヨークの{{c1::摩天楼}}を見てみたい。
楼閣|ろうかく|tower/pavilion|いくら華麗でも砂上の{{c1::楼閣}}だ。
漏れる|もれる|to leak|ガスが漏れているようだ。
漏水|ろうすい|water leakage|雨が降り、屋根から{{c1::漏水}}し始めた。
賄賂|わいろ|bribe|A部長は{{c1::賄賂}}を受け取っていたらしい。
賄う|まかなう|to cover (costs)|食費は月々5万円で賄っている。
脇|わき|side|バッグは自分の{{c1::脇}}に置く。
脇目|わきめ|side glance|{{c1::脇目}}もふらずに勉強する。
戸惑う|とまどう|to be bewildered|初めてのことなので、戸惑ってしまった。
疑惑|ぎわく|suspicion|彼は{{c1::疑惑}}の目で見られている。
枠|わく|frame|{{c1::枠}}で囲んだ部分が重要ですから覚えてください。
湧く|わく|to well up/spring out|温泉が湧き出た。
湧き出た|わきでた|sprung out|掘っていた所から、温泉が{{c1::湧き出た}}。
僅か|わずか|a little|給料日前なので、お金が{{c1::僅か}}しかない。
茶碗|ちゃわん|rice bowl|気に入っていた{{c1::茶碗}}を割ってしまった。
碗|わん|bowl|お吸い物を{{c1::碗}}に注ぐ。
尉|い|military officer|彼は軍の{{c1::尉}}官として任務に就いている。
嘘|うそ|lie|それは全くの{{c1::嘘}}だった。
謁|えつ|audience (with someone)|国王に{{c1::謁}}見した。
於|おいて|at (formal)|会議は東京に{{c1::於}}いて行われた。
凹凸|おうとつ|unevenness|この道路は{{c1::凹凸}}が激しい。
乙|おつ|second party|彼は{{c1::乙}}女のように繊細だ。
款|かん|clause; fund|新しい融資の{{c1::款}}項が承認された。
虐|ぎゃく|oppression|戦争で多くの民間人が{{c1::虐}}殺された。
虐げる|しいたげる|to oppress|彼は部下を{{c1::虐げる}}ことで知られていた。
斤|きん|loaf (measure)|一{{c1::斤}}のパンを買った。
勲|くん|medal of honor|彼は国家から{{c1::勲}}章を授与された。
郡|ぐん|district|この{{c1::郡}}は農業が盛んです。
繭|まゆ|cocoon|蚕が{{c1::繭}}を作った。
蹴|ける|to kick|ボールを力強く{{c1::蹴}}った。
后|こう|empress|皇{{c1::后}}は式典に出席された。
皇|こう|emperor|{{c1::皇}}帝が演説を行った。
拷|ごう|torture|犯人は{{c1::拷}}問にかけられた。
拷梢|ごうしょう|supervisor of torture|犯人の拷問を監督した{{c1::拷梢}}官がいた。
此|この|this|{{c1::此}}の書類にサインしてください。
墾|こん|reclamation|森林を開{{c1::墾}}して農地にした。
﨑|さき|cape; promontory|{{c1::﨑}}の先に灯台が立っている。
嗣|し|heir|彼は後{{c1::嗣}}として家を継ぐ。
賜|し|imperial gift|これは天{{c1::賜}}の恵みだ。
賜|たまわる|to be granted|貴重なご意見を{{c1::賜}}り、ありがとうございます。
璽|じ|imperial seal|天皇の御{{c1::璽}}が押された。
囚|しゅう|prisoner|{{c1::囚}}人が脱走した。
繍|しゅう|embroidery|彼女は{{c1::繍}}帳を大切にしている。
詔|みことのり|imperial edict|天皇が{{c1::詔}}を発した。
芯|しん|core|鉛筆の{{c1::芯}}を削った。
塑|そ|plastic|{{c1::塑}}像を制作した。
梢|こずえ|treetop|鳥が木の{{c1::梢}}にとまっている。
曹|そう|sergeant|兵{{c1::曹}}長が命令を下した。
其|その|that|{{c1::其}}の考えには賛成できない。
隊|たい|group; unit|救助{{c1::隊}}が出動した。
只|ただ|free of charge|入場は{{c1::只}}です。
忽|たちまち|suddenly|{{c1::忽}}ち空が曇ってきた。
蛋|たん|protein|卵白と{{c1::蛋}}白質の違いを学ぶ。
痴|ち|foolishness|彼は{{c1::痴}}呆の兆候を示していた。
嫡|ちゃく|legitimate heir|彼は家の{{c1::嫡}}男である。
勅|ちょく|imperial command|{{c1::勅}}令が発布された。
帝|てい|emperor|皇{{c1::帝}}は演説を行った。
逓|てい|sequential|{{c1::逓}}信省は通信を担当していた。
痘|とう|smallpox|天然{{c1::痘}}のワクチンが開発された。
謄|とう|copy|登記簿{{c1::謄}}本が必要です。
凸|とつ|convex|この表面は{{c1::凸}}になっている。
屯|とん|to station (troops)|兵士が村に駐{{c1::屯}}していた。
弐|に|two (formal)|金額は{{c1::弐}}万円です。
藩|はん|clan|江戸時代には多くの{{c1::藩}}があった。
妃|ひ|princess|皇{{c1::妃}}が式典に出席された。
髭|ひげ|beard|{{c1::髭}}をそるのを忘れた。
泌|ひつ|secretion|内分{{c1::泌}}系の働きについて学ぶ。
附|ふ|attached|この資料には{{c1::附}}属の図表があります。
陛|へい|imperial court|天皇{{c1::陛}}下が退位された。
砲|ほう|cannon|大{{c1::砲}}の音が鳴り響いた。
肪|ぼう|fat|脂{{c1::肪}}を減らすために運動する。
殆|ほとんど|almost|{{c1::殆}}どの人がその話を知らない。
稀|まれ|rare|{{c1::稀}}に見る大雨だった。
勿|もち|of course|彼は{{c1::勿}}論来るだろう。
尤|もっとも|reasonable|{{c1::尤}}もな意見だと思う。
吏|り|official|地方{{c1::吏}}が視察に来た。
痢|り|dysentery|赤{{c1::痢}}が流行している。
厘|りん|one-hundredth|利益は一{{c1::厘}}にも満たない。
